flag_type,provider_id,hcpcs_code,state,month,service_category,benchmark_band,utilization_count,contract_to_medicare_ratio,dollar_variance,total_financial_variance
Overpayment,PRV008,27447,PA,2024-12,Surgery,above_120_percent,33,1.3305017173699707,431.08000000000015,14225.640000000005
Overpayment,PRV008,27447,PA,2025-10,Surgery,above_120_percent,31,1.3462505568853687,458.5500000000002,14215.050000000007
Overpayment,PRV004,27447,FL,2024-01,Surgery,above_120_percent,25,1.4568023833167827,565.8000000000002,14145.000000000004
Overpayment,PRV002,27447,NC,2025-01,Surgery,above_120_percent,26,1.4106302809722653,543.8100000000002,14139.060000000005
Overpayment,PRV016,27447,PA,2024-04,Surgery,above_120_percent,28,1.381260170638602,501.3800000000001,14038.640000000003
Overpayment,PRV017,27447,VA,2024-02,Surgery,above_120_percent,20,1.596625412187915,696.5900000000001,13931.800000000003
Overpayment,PRV008,27447,PA,2025-11,Surgery,above_120_percent,21,1.534793034126965,662.4000000000001,13910.400000000001
Overpayment,PRV002,27447,NC,2025-03,Surgery,above_120_percent,22,1.5386713322698502,628.0799999999999,13817.759999999998
Overpayment,PRV017,27447,VA,2024-06,Surgery,above_120_percent,18,1.6544387820650082,764.0900000000001,13753.620000000003
Overpayment,PRV046,27447,NC,2025-05,Surgery,above_120_percent,29,1.3799823996253866,470.6500000000001,13648.850000000002
Overpayment,PRV007,27447,FL,2025-01,Surgery,above_120_percent,27,1.4210526315789476,491.60000000000014,13273.200000000004
Overpayment,PRV032,27447,NC,2025-10,Surgery,above_120_percent,22,1.4499180717796925,595.8400000000001,13108.480000000003
Overpayment,PRV017,27447,VA,2025-11,Surgery,above_120_percent,26,1.4297460494197252,501.75,13045.5
Overpayment,PRV004,27447,FL,2025-03,Surgery,above_120_percent,26,1.4292612223194223,500.51,13013.26
Overpayment,PRV004,27447,FL,2024-07,Surgery,above_120_percent,22,1.4489757121348077,590.4300000000001,12989.460000000001
Overpayment,PRV007,27447,FL,2024-10,Surgery,above_120_percent,22,1.452565321393523,590.29,12986.38
Overpayment,PRV044,27447,MD,2025-02,Surgery,above_120_percent,16,1.6113581962199752,809.6399999999999,12954.239999999998
Overpayment,PRV017,27447,VA,2025-02,Surgery,above_120_percent,16,1.689580746006595,805.1200000000001,12881.920000000002
Overpayment,PRV043,27447,NC,2024-08,Surgery,above_120_percent,20,1.548242679977358,639.24,12784.8
Overpayment,PRV017,27447,VA,2024-08,Surgery,above_120_percent,17,1.6416833907957256,748.19,12719.230000000001
Overpayment,PRV017,27447,VA,2025-04,Surgery,above_120_percent,18,1.6048820179007324,706.23,12712.14
Overpayment,PRV028,27447,VA,2025-04,Surgery,above_120_percent,29,1.3306617188569345,434.84000000000015,12610.360000000004
Overpayment,PRV008,27447,PA,2025-01,Surgery,above_120_percent,19,1.499135411868643,661.02,12559.38
Overpayment,PRV060,27447,MD,2025-12,Surgery,above_120_percent,24,1.4186386352443467,518.5300000000002,12444.720000000005
Overpayment,PRV021,27447,FL,2025-09,Surgery,above_120_percent,22,1.4308145240431798,561.9200000000001,12362.240000000002
Overpayment,PRV018,27447,VA,2025-03,Surgery,above_120_percent,25,1.3779593964671246,492.98,12324.5
Overpayment,PRV008,27447,PA,2025-04,Surgery,above_120_percent,25,1.3969288153656116,491.6400000000001,12291.000000000002
Overpayment,PRV007,27447,FL,2025-09,Surgery,above_120_percent,25,1.3968400061359105,491.5300000000002,12288.250000000005
Overpayment,PRV002,27447,NC,2025-05,Surgery,above_120_percent,18,1.5146526923047883,681.5700000000002,12268.260000000002
Overpayment,PRV008,27447,PA,2025-01,Surgery,above_120_percent,22,1.450109396823859,557.51,12265.22
Overpayment,PRV020,27447,NC,2025-01,Surgery,above_120_percent,29,1.3211032196249601,422.27,12245.83
Overpayment,PRV043,27447,NC,2025-01,Surgery,above_120_percent,25,1.392722487304317,486.43000000000006,12160.750000000002
Overpayment,PRV021,27447,FL,2025-09,Surgery,above_120_percent,27,1.3846292389234807,448.47,12108.69
Overpayment,PRV017,27447,VA,2024-01,Surgery,above_120_percent,16,1.5747570453059176,755.8400000000001,12093.440000000002
Overpayment,PRV051,27447,VA,2025-09,Surgery,above_120_percent,29,1.3565843004582245,416.33000000000015,12073.570000000005
Overpayment,PRV033,27447,FL,2024-06,Surgery,above_120_percent,22,1.4198739573110895,547.6500000000001,12048.300000000003
Overpayment,PRV023,27447,MD,2025-12,Surgery,above_120_percent,26,1.3495654406379076,462.94000000000005,12036.440000000002
Overpayment,PRV023,27447,MD,2025-10,Surgery,above_120_percent,25,1.3618998372697824,475.9200000000001,11898.000000000002
Overpayment,PRV043,27447,NC,2024-03,Surgery,above_120_percent,19,1.4771375122669286,622.3400000000001,11824.460000000003
Overpayment,PRV043,27447,NC,2025-08,Surgery,above_120_percent,24,1.4211297160721168,491.69000000000005,11800.560000000001
Overpayment,PRV043,27447,NC,2025-04,Surgery,above_120_percent,17,1.5578349924512156,690.94,11745.980000000001
Overpayment,PRV002,27447,NC,2025-02,Surgery,above_120_percent,21,1.4284531403336607,558.8400000000001,11735.640000000003
Overpayment,PRV046,27447,NC,2025-12,Surgery,above_120_percent,19,1.5284052899706684,616.1099999999999,11706.089999999998
Overpayment,PRV020,27447,NC,2025-10,Surgery,above_120_percent,27,1.328608580597083,432.1400000000001,11667.780000000002
Overpayment,PRV002,27447,NC,2024-08,Surgery,above_120_percent,19,1.5227356430131471,610.3199999999999,11596.079999999998
Overpayment,PRV044,27447,MD,2024-01,Surgery,above_120_percent,26,1.338828646601676,445.58000000000015,11585.080000000004
Overpayment,PRV044,27447,MD,2025-04,Surgery,above_120_percent,16,1.54580051799778,722.8200000000002,11565.120000000003
Overpayment,PRV054,27447,PA,2024-12,Surgery,above_120_percent,24,1.3632251780145432,481.03,11544.72
Overpayment,PRV017,27447,VA,2024-07,Surgery,above_120_percent,16,1.6176009592736929,721.0800000000002,11537.280000000002
Overpayment,PRV004,27447,FL,2025-11,Surgery,above_120_percent,18,1.481080999448778,637.1100000000001,11467.980000000003
Overpayment,PRV033,27447,FL,2024-01,Surgery,above_120_percent,26,1.376412145090146,439.48,11426.48
Overpayment,PRV043,27447,NC,2025-05,Surgery,above_120_percent,22,1.3958307777232581,516.29,11358.38
Overpayment,PRV041,27447,NC,2024-12,Surgery,above_120_percent,22,1.416087388282026,515.3700000000001,11338.140000000003
Overpayment,PRV004,27447,FL,2024-09,Surgery,above_120_percent,20,1.457407900792017,566.5500000000002,11331.000000000004
Overpayment,PRV002,27447,NC,2025-12,Surgery,above_120_percent,19,1.4509908293157727,593.0800000000002,11268.520000000002
Overpayment,PRV007,27447,FL,2025-05,Surgery,above_120_percent,22,1.3849569216131932,509.8100000000002,11215.820000000003
Overpayment,PRV004,27447,FL,2024-06,Surgery,above_120_percent,21,1.4024379115781789,529.23,11113.83
Overpayment,PRV044,27447,MD,2025-11,Surgery,above_120_percent,25,1.3802663697486188,443.98,11099.5
Overpayment,PRV006,27447,VA,2025-08,Surgery,above_120_percent,22,1.4290865487559419,500.98,11021.560000000001
Overpayment,PRV016,27447,PA,2025-01,Surgery,above_120_percent,22,1.4293812929895882,500.6500000000001,11014.300000000003
Overpayment,PRV045,27447,NC,2025-01,Surgery,above_120_percent,26,1.3219548917920096,423.3900000000001,11008.140000000003
Overpayment,PRV033,27447,FL,2025-11,Surgery,above_120_percent,19,1.465747894817578,576.8800000000001,10960.720000000001
Overpayment,PRV005,27447,PA,2025-09,Surgery,above_120_percent,22,1.3752085960447926,496.9000000000001,10931.800000000003
Overpayment,PRV060,27447,MD,2024-09,Surgery,above_120_percent,25,1.3746376438703922,436.81999999999994,10920.499999999998
Overpayment,PRV018,27447,VA,2024-11,Surgery,above_120_percent,25,1.3278487990153511,434.18000000000006,10854.500000000002
Overpayment,PRV008,27447,PA,2024-11,Surgery,above_120_percent,19,1.430466726571172,570.0800000000002,10831.520000000002
Overpayment,PRV043,27447,NC,2024-11,Surgery,above_120_percent,20,1.4631640336883993,540.04,10800.8
Overpayment,PRV057,27447,MD,2024-08,Surgery,above_120_percent,28,1.3298531112157939,385.1200000000001,10783.360000000004
Overpayment,PRV017,27447,VA,2024-11,Surgery,above_120_percent,19,1.4865263555121013,567.28,10778.32
Overpayment,PRV002,27447,NC,2024-07,Surgery,above_120_percent,18,1.5107961115155668,596.3800000000001,10734.840000000002
Overpayment,PRV017,27447,VA,2024-09,Surgery,above_120_percent,19,1.4834311164404095,564.4300000000001,10724.170000000002
Overpayment,PRV043,27447,NC,2025-08,Surgery,above_120_percent,18,1.4560307286555447,594.8100000000002,10706.580000000004
Overpayment,PRV051,27447,VA,2025-12,Surgery,above_120_percent,19,1.454727476768313,563.23,10701.37
Overpayment,PRV031,27447,PA,2025-06,Surgery,above_120_percent,18,1.4548883709519138,593.3200000000002,10679.760000000002
Overpayment,PRV004,27447,FL,2025-10,Surgery,above_120_percent,16,1.503862330385931,667.28,10676.48
Overpayment,PRV017,27447,VA,2025-02,Surgery,above_120_percent,11,1.732247958268064,962.9500000000003,10592.450000000003
Overpayment,PRV004,99214,FL,2025-08,Professional,above_120_percent,102,1.78698224852071,103.74000000000001,10581.480000000001
Overpayment,PRV044,27447,MD,2025-05,Surgery,above_120_percent,21,1.3802149011198115,503.53,10574.13
Overpayment,PRV046,27447,NC,2024-08,Surgery,above_120_percent,25,1.3171792529052428,420.0500000000002,10501.250000000004
Overpayment,PRV004,27447,FL,2024-02,Surgery,above_120_percent,19,1.4700783692347223,548.8400000000001,10427.960000000003
Overpayment,PRV043,99214,NC,2025-03,Professional,above_120_percent,106,1.7358080239970004,98.12,10400.720000000001
Overpayment,PRV008,27447,PA,2025-11,Surgery,above_120_percent,21,1.424243983601777,494.6600000000001,10387.860000000002
Overpayment,PRV051,27447,VA,2024-10,Surgery,above_120_percent,22,1.3798047811659846,470.43000000000006,10349.460000000001
Overpayment,PRV002,27447,NC,2025-11,Surgery,above_120_percent,19,1.411166401123587,544.52,10345.88
Overpayment,PRV030,27447,NC,2025-05,Surgery,above_120_percent,33,1.267671620059098,312.52,10313.16
Overpayment,PRV023,27447,MD,2024-11,Surgery,above_120_percent,16,1.5198811571035273,643.9300000000001,10302.880000000001
Overpayment,PRV008,27447,PA,2025-12,Surgery,above_120_percent,16,1.4857777140138788,643.3300000000002,10293.280000000002
Overpayment,PRV046,27447,NC,2024-06,Surgery,above_120_percent,23,1.3829310965882777,446.49,10269.27
Overpayment,PRV017,27447,VA,2024-05,Surgery,above_120_percent,25,1.3515909382895808,410.5,10262.5
Overpayment,PRV033,27447,FL,2025-08,Surgery,above_120_percent,25,1.3304107023195357,409.25,10231.25
Overpayment,PRV059,27447,VA,2025-05,Surgery,above_120_percent,24,1.3232932337688015,425.1500000000001,10203.600000000002
Overpayment,PRV023,27447,MD,2024-11,Surgery,above_120_percent,25,1.3128373405299314,408.03999999999996,10201.0
Overpayment,PRV043,99214,NC,2025-10,Professional,above_120_percent,100,1.7926317425773355,101.97999999999999,10197.999999999998
Overpayment,PRV057,27447,MD,2025-06,Surgery,above_120_percent,21,1.36619271631693,484.96000000000004,10184.16
Overpayment,PRV024,27447,NC,2025-10,Surgery,above_120_percent,29,1.2646772330159401,350.52,10165.08
Overpayment,PRV023,27447,MD,2024-11,Surgery,above_120_percent,20,1.3825708093904088,506.6500000000001,10133.000000000002
Overpayment,PRV002,27447,NC,2024-12,Surgery,above_120_percent,18,1.4806303798552525,561.1600000000001,10100.880000000001
Overpayment,PRV006,27447,VA,2025-07,Surgery,above_120_percent,20,1.4325031304139006,504.28999999999996,10085.8
Overpayment,PRV051,27447,VA,2025-09,Surgery,above_120_percent,15,1.507071500305815,671.53,10072.949999999999
Overpayment,PRV053,27447,NY,2024-08,Surgery,above_120_percent,22,1.3474290146457197,456.8900000000001,10051.580000000002
Overpayment,PRV018,27447,VA,2025-04,Surgery,above_120_percent,20,1.4053737657535466,502.10000000000014,10042.000000000004
Overpayment,PRV051,27447,VA,2025-03,Surgery,above_120_percent,13,1.6582531432786154,767.51,9977.63
Overpayment,PRV028,27447,VA,2025-05,Surgery,above_120_percent,17,1.4726184997699034,585.3900000000001,9951.630000000001
Overpayment,PRV051,27447,VA,2024-12,Surgery,above_120_percent,20,1.424689960376679,495.18000000000006,9903.600000000002
Overpayment,PRV057,27447,MD,2025-10,Surgery,above_120_percent,20,1.3737361533756693,494.95000000000005,9899.0
Overpayment,PRV018,27447,VA,2025-07,Surgery,above_120_percent,18,1.4435052195606366,549.3300000000002,9887.940000000002
Overpayment,PRV043,27447,NC,2024-11,Surgery,above_120_percent,25,1.3192449600762146,395.4200000000001,9885.500000000002
Overpayment,PRV041,27447,NC,2024-05,Surgery,above_120_percent,24,1.3103984656392291,411.07000000000016,9865.680000000004
Overpayment,PRV043,99214,NC,2025-02,Professional,above_120_percent,94,1.7401089956826388,104.57000000000002,9829.580000000002
Overpayment,PRV008,27447,PA,2025-09,Surgery,above_120_percent,21,1.351921348908505,466.0600000000002,9787.260000000004
Overpayment,PRV007,27447,FL,2025-01,Surgery,above_120_percent,32,1.234405667320903,305.74,9783.68
Overpayment,PRV017,27447,VA,2024-07,Surgery,above_120_percent,17,1.4344687502359685,575.3800000000001,9781.460000000003
Overpayment,PRV031,27447,PA,2025-02,Surgery,above_120_percent,26,1.2876901373895977,375.24,9756.24
Overpayment,PRV002,27447,NC,2025-11,Surgery,above_120_percent,22,1.3790330178579076,442.53999999999996,9735.88
Overpayment,PRV043,27447,NC,2024-05,Surgery,above_120_percent,14,1.5953834953535182,695.1400000000001,9731.960000000001
Overpayment,PRV031,27447,PA,2025-08,Surgery,above_120_percent,21,1.39729669462598,463.24,9728.04
Overpayment,PRV043,99214,NC,2025-04,Professional,above_120_percent,118,1.583410007785406,82.43,9726.740000000002
Overpayment,PRV021,27447,FL,2024-11,Surgery,above_120_percent,27,1.2719412835169484,360.1400000000001,9723.780000000002
Overpayment,PRV007,27447,FL,2025-08,Surgery,above_120_percent,24,1.3468459594878164,404.96000000000004,9719.04
Overpayment,PRV017,27447,VA,2024-11,Surgery,above_120_percent,16,1.518478866001456,605.3500000000001,9685.600000000002
Overpayment,PRV005,27447,PA,2024-09,Surgery,above_120_percent,30,1.2767543182558878,322.69000000000005,9680.7
Overpayment,PRV016,27447,PA,2025-11,Surgery,above_120_percent,19,1.3845340662825731,509.25,9675.75
Overpayment,PRV002,27447,NC,2024-12,Surgery,above_120_percent,16,1.516672670200175,602.4300000000001,9638.880000000001
Overpayment,PRV028,27447,VA,2024-07,Surgery,above_120_percent,27,1.2692984377005732,356.6400000000001,9629.280000000002
Overpayment,PRV044,27447,MD,2025-09,Surgery,above_120_percent,18,1.4586442306042986,534.77,9625.86
Overpayment,PRV004,27447,FL,2024-08,Surgery,above_120_percent,19,1.3840661262603988,505.07000000000016,9596.330000000004
Overpayment,PRV018,27447,VA,2025-11,Surgery,above_120_percent,24,1.3393197138887458,395.6399999999999,9495.359999999997
Overpayment,PRV005,27447,PA,2025-07,Surgery,above_120_percent,17,1.424391282527033,558.1000000000001,9487.700000000003
Overpayment,PRV006,27447,VA,2024-10,Surgery,above_120_percent,21,1.3428740893951607,450.9000000000001,9468.900000000001
Overpayment,PRV016,27447,PA,2025-06,Surgery,above_120_percent,24,1.3180097044267365,393.8900000000001,9453.360000000002
Overpayment,PRV044,99214,MD,2025-02,Professional,above_120_percent,90,1.746095142999786,104.60999999999999,9414.899999999998
Overpayment,PRV034,27447,PA,2025-06,Surgery,above_120_percent,27,1.2985739368763651,348.60000000000014,9412.200000000004
Overpayment,PRV017,27447,VA,2024-04,Surgery,above_120_percent,22,1.3451288137508983,427.48,9404.560000000001
Overpayment,PRV017,27447,VA,2024-05,Surgery,above_120_percent,23,1.310373671163293,408.1600000000001,9387.680000000002
Overpayment,PRV018,27447,VA,2024-12,Surgery,above_120_percent,31,1.2318909470068695,302.46000000000004,9376.260000000002
Overpayment,PRV004,27447,FL,2025-07,Surgery,above_120_percent,15,1.5350692121648741,623.8799999999999,9358.199999999999
Overpayment,PRV044,27447,MD,2024-06,Surgery,above_120_percent,16,1.4447401639468922,584.8600000000001,9357.760000000002
Overpayment,PRV007,27447,FL,2025-01,Surgery,above_120_percent,26,1.2712465926166439,359.22,9339.720000000001
Overpayment,PRV007,27447,FL,2024-01,Surgery,above_120_percent,25,1.3014669670033345,373.4000000000001,9335.000000000002
Overpayment,PRV007,27447,FL,2025-12,Surgery,above_120_percent,22,1.3224871868964154,424.09000000000015,9329.980000000003
Overpayment,PRV028,27447,VA,2025-07,Surgery,above_120_percent,21,1.3377792648244187,444.20000000000005,9328.2
Overpayment,PRV044,27447,MD,2025-05,Surgery,above_120_percent,18,1.4424604195612276,515.9000000000001,9286.2
Overpayment,PRV021,27447,FL,2025-11,Surgery,above_120_percent,19,1.4169414586099096,486.79999999999995,9249.199999999999
Overpayment,PRV018,27447,VA,2024-07,Surgery,above_120_percent,23,1.3076468964671246,401.27,9229.21
Overpayment,PRV059,27447,VA,2024-08,Surgery,above_120_percent,28,1.282214894437069,329.5,9226.0
Overpayment,PRV033,27447,FL,2024-08,Surgery,above_120_percent,23,1.3059065260058882,399.0,9177.0
Overpayment,PRV017,99214,VA,2025-02,Professional,above_120_percent,88,1.7352254228890933,103.88,9141.439999999999
Overpayment,PRV032,27447,NC,2025-03,Surgery,above_120_percent,15,1.4910827459813825,608.26,9123.9
Overpayment,PRV021,27447,FL,2025-08,Surgery,above_120_percent,17,1.4078521132115647,536.3500000000001,9117.950000000003
Overpayment,PRV018,27447,VA,2025-06,Surgery,above_120_percent,21,1.327712881230509,434.0,9114.0
Overpayment,PRV008,27447,PA,2025-01,Surgery,above_120_percent,16,1.487624144496475,568.56,9096.96
Overpayment,PRV005,27447,PA,2024-10,Surgery,above_120_percent,26,1.2654859854303226,349.1300000000001,9077.380000000003
Overpayment,PRV032,27447,NC,2025-01,Surgery,above_120_percent,22,1.3157507360157017,411.84000000000015,9060.480000000003
Overpayment,PRV016,27447,PA,2025-09,Surgery,above_120_percent,19,1.3631624141315015,473.68000000000006,8999.920000000002
Overpayment,PRV020,27447,NC,2025-11,Surgery,above_120_percent,23,1.3343068819322512,390.31999999999994,8977.359999999999
Overpayment,PRV043,27447,NC,2025-01,Surgery,above_120_percent,20,1.3623416571802265,448.8000000000002,8976.000000000004
Overpayment,PRV004,27447,FL,2025-06,Surgery,above_120_percent,13,1.5212673578337728,690.3300000000002,8974.290000000003
Overpayment,PRV044,27447,MD,2025-05,Surgery,above_120_percent,18,1.3741363557421489,495.48,8918.64
Overpayment,PRV041,27447,NC,2024-09,Surgery,above_120_percent,23,1.2943667969522303,387.1100000000001,8903.530000000002
Overpayment,PRV002,27447,NC,2025-08,Surgery,above_120_percent,21,1.3241152477919529,422.75,8877.75
Overpayment,PRV005,27447,PA,2025-07,Surgery,above_120_percent,23,1.2956023061825321,385.5600000000002,8867.880000000005
Overpayment,PRV002,27447,NC,2025-08,Surgery,above_120_percent,22,1.3441394372831998,401.79999999999995,8839.599999999999
Overpayment,PRV012,27447,VA,2025-06,Surgery,above_120_percent,25,1.285247172233391,353.3100000000002,8832.750000000004
Overpayment,PRV043,27447,NC,2025-01,Surgery,above_120_percent,18,1.4206590164496817,490.48,8828.64
Overpayment,PRV044,45378,MD,2025-09,Outpatient,above_120_percent,29,1.7654352099188548,303.73999999999995,8808.46
Overpayment,PRV002,27447,NC,2025-07,Surgery,above_120_percent,20,1.3552853602021622,440.0600000000002,8801.200000000004
Overpayment,PRV023,27447,MD,2024-12,Surgery,above_120_percent,27,1.2460715984686597,325.8800000000001,8798.760000000002
Overpayment,PRV023,27447,MD,2024-10,Surgery,above_120_percent,23,1.3277757765999418,382.18000000000006,8790.140000000001
Overpayment,PRV017,99214,VA,2024-01,Professional,above_120_percent,86,1.72890664003994,102.19999999999999,8789.199999999999
Overpayment,PRV002,27447,NC,2025-09,Surgery,above_120_percent,18,1.370758748650252,487.57000000000016,8776.260000000002
Overpayment,PRV043,27447,NC,2025-12,Surgery,above_120_percent,21,1.337257086572852,417.73,8772.33
Overpayment,PRV017,99214,VA,2025-11,Professional,above_120_percent,82,1.8278408207679153,106.50999999999999,8733.82
Overpayment,PRV006,27447,VA,2024-01,Surgery,above_120_percent,23,1.286552445387479,379.49,8728.27
Overpayment,PRV044,27447,MD,2024-09,Surgery,above_120_percent,20,1.3728365838179042,434.72,8694.400000000001
Overpayment,PRV008,27447,PA,2025-04,Surgery,above_120_percent,14,1.4671267735383176,618.6300000000001,8660.820000000002
Overpayment,PRV006,27447,VA,2025-03,Surgery,above_120_percent,16,1.460922444434928,538.1500000000001,8610.400000000001
Overpayment,PRV031,27447,PA,2025-01,Surgery,above_120_percent,28,1.2626097383409705,306.6100000000001,8585.080000000004
Overpayment,PRV057,27447,MD,2025-11,Surgery,above_120_percent,19,1.3647233592494814,451.75,8583.25
Overpayment,PRV034,27447,PA,2025-07,Surgery,above_120_percent,22,1.333955719241146,389.9100000000001,8578.020000000002
Overpayment,PRV023,27447,MD,2024-03,Surgery,above_120_percent,30,1.24488413180329,285.53,8565.9
Overpayment,PRV057,27447,MD,2025-02,Surgery,above_120_percent,24,1.3054258918247614,356.60000000000014,8558.400000000003
Overpayment,PRV030,27447,NC,2025-02,Surgery,above_120_percent,26,1.2821746513662327,329.01,8554.26
Overpayment,PRV053,27447,NY,2024-11,Surgery,above_120_percent,20,1.3228198409761918,427.52,8550.4
Overpayment,PRV028,27447,VA,2025-11,Surgery,above_120_percent,21,1.3113806427870462,406.1400000000001,8528.940000000002
Overpayment,PRV007,27447,FL,2025-05,Surgery,above_120_percent,21,1.3109666339548578,405.60000000000014,8517.600000000002
Overpayment,PRV017,27447,VA,2024-05,Surgery,above_120_percent,16,1.4557625345203178,531.4100000000001,8502.560000000001
Overpayment,PRV041,27447,NC,2024-10,Surgery,above_120_percent,17,1.3773832806022668,499.78,8496.26
Overpayment,PRV034,27447,PA,2025-09,Surgery,above_120_percent,22,1.2935379374325127,386.02,8492.439999999999
Overpayment,PRV004,27447,FL,2024-01,Surgery,above_120_percent,20,1.362228598346966,422.9200000000001,8458.400000000001
Overpayment,PRV043,27447,NC,2025-02,Surgery,above_120_percent,17,1.377906711480845,496.97,8448.49
Overpayment,PRV043,27447,NC,2025-09,Surgery,above_120_percent,17,1.4232195623313777,494.1300000000001,8400.210000000003
Overpayment,PRV023,27447,MD,2025-12,Surgery,above_120_percent,18,1.3766964581264483,466.58000000000015,8398.440000000002
Overpayment,PRV060,27447,MD,2024-04,Surgery,above_120_percent,19,1.338329551030422,441.28999999999996,8384.509999999998
Overpayment,PRV017,99214,VA,2025-10,Professional,above_120_percent,102,1.6164229471316087,82.20000000000002,8384.400000000001
Overpayment,PRV006,27447,VA,2024-08,Surgery,above_120_percent,23,1.3120380283499635,364.31999999999994,8379.359999999999
Overpayment,PRV017,99214,VA,2024-09,Professional,above_120_percent,102,1.5792341991648384,81.84,8347.68
Overpayment,PRV028,27447,VA,2025-05,Surgery,above_120_percent,17,1.3761346908734053,490.60000000000014,8340.200000000003
Overpayment,PRV016,27447,PA,2024-08,Surgery,above_120_percent,20,1.3166319407479508,416.3900000000001,8327.800000000003
Overpayment,PRV028,27447,VA,2024-06,Surgery,above_120_percent,21,1.3012866333095068,396.21000000000004,8320.41
Overpayment,PRV032,27447,NC,2025-12,Surgery,above_120_percent,15,1.4745920945569784,554.1100000000001,8311.650000000001
Overpayment,PRV016,27447,PA,2025-07,Surgery,above_120_percent,16,1.397003802747792,517.8200000000002,8285.120000000003
