provider_id,provider_name,provider_type,state,locality,hcpcs_code,service_description,service_category,contract_allowed_amount,contract_paid_amount,billed_amount,utilization_count,effective_date,contract_type,payer_product,medicare_benchmark_amount,benchmark_source,service_month,contract_total_paid,medicare_total_benchmark
PRV027,Provider Network 27,Ambulatory Surgery,MD,MD Locality,27447,Total knee arthroplasty,Surgery,1110.22,1110.22,1984.23,18,2025-08-01,Fee Schedule,Commercial HMO,1304.32,simulated_cms_style_fee_schedule,2025-08-01,19983.96,23477.76
PRV057,Provider Network 57,Ambulatory Surgery,MD,MD Locality,80053,Comprehensive metabolic panel,Lab,17.41,16.47,24.55,57,2025-02-01,Negotiated Commercial,Commercial PPO,13.94,simulated_cms_style_fee_schedule,2025-02-01,938.79,794.5799999999999
PRV010,Provider Network 10,Physician Group,PA,PA Locality,J3490,Unclassified drug,Pharmacy,116.45,108.69,185.37,12,2024-05-01,Negotiated Commercial,Commercial HMO,112.06,simulated_cms_style_fee_schedule,2024-05-01,1304.28,1344.72
PRV035,Provider Network 35,Lab,FL,FL Locality,99214,Office/outpatient established visit high complexity,Professional,144.86,132.69,194.1,124,2025-08-01,Negotiated Commercial,Exchange,131.82,simulated_cms_style_fee_schedule,2025-08-01,16453.56,16345.679999999998
PRV033,Provider Network 33,Physician Group,FL,FL Locality,27447,Total knee arthroplasty,Surgery,1705.99,1582.0,3251.69,20,2025-12-01,Case Rate,Exchange,1324.33,simulated_cms_style_fee_schedule,2025-12-01,31640.0,26486.6
PRV029,Provider Network 29,Ambulatory Surgery,NC,NC Locality,70551,MRI brain without contrast,Imaging,179.18,166.47,216.02,17,2024-02-01,Fee Schedule,Medicare Advantage,227.36,simulated_cms_style_fee_schedule,2024-02-01,2829.99,3865.1200000000003
PRV049,Provider Network 49,Imaging Center,PA,PA Locality,93000,Electrocardiogram complete,Diagnostic,20.88,20.41,27.24,28,2025-09-01,Percent of Medicare,Commercial PPO,23.12,simulated_cms_style_fee_schedule,2025-09-01,571.48,647.36
PRV017,Provider Network 17,Ambulatory Surgery,VA,VA Locality,A0429,Ambulance basic life support,Emergency,420.18,412.29,581.97,19,2025-06-01,Negotiated Commercial,Medicare Advantage,294.16,simulated_cms_style_fee_schedule,2025-06-01,7833.51,5589.040000000001
PRV058,Provider Network 58,Physician Group,MD,MD Locality,45378,Diagnostic colonoscopy,Outpatient,403.99,367.71,488.71,17,2024-09-01,Negotiated Commercial,Commercial HMO,396.82,simulated_cms_style_fee_schedule,2024-09-01,6251.07,6745.94
PRV020,Provider Network 20,Ambulatory Surgery,NC,NC Locality,99213,Office/outpatient established visit,Professional,103.82,102.02,174.57,116,2025-04-01,Fee Schedule,Exchange,94.24,simulated_cms_style_fee_schedule,2025-04-01,11834.32,10931.84
PRV033,Provider Network 33,Physician Group,FL,FL Locality,99213,Office/outpatient established visit,Professional,108.75,102.02,187.1,74,2025-07-01,Case Rate,Medicare Advantage,82.42,simulated_cms_style_fee_schedule,2025-07-01,7549.48,6099.08
PRV032,Provider Network 32,Hospital Outpatient,NC,NC Locality,99213,Office/outpatient established visit,Professional,140.25,131.86,240.03,118,2024-12-01,Negotiated Commercial,Exchange,98.92,simulated_cms_style_fee_schedule,2024-12-01,15559.480000000001,11672.56
PRV051,Provider Network 51,Imaging Center,VA,VA Locality,71046,Chest x-ray two views,Imaging,43.13,41.76,74.27,20,2025-04-01,Fee Schedule,Commercial HMO,32.83,simulated_cms_style_fee_schedule,2025-04-01,835.1999999999999,656.5999999999999
PRV027,Provider Network 27,Ambulatory Surgery,MD,MD Locality,71046,Chest x-ray two views,Imaging,29.19,26.92,34.38,18,2024-02-01,Case Rate,Medicare Advantage,33.04,simulated_cms_style_fee_schedule,2024-02-01,484.56000000000006,594.72
PRV018,Provider Network 18,Physician Group,VA,VA Locality,45378,Diagnostic colonoscopy,Outpatient,594.33,556.47,959.45,32,2025-11-01,Percent of Medicare,Exchange,397.24,simulated_cms_style_fee_schedule,2025-11-01,17807.04,12711.68
PRV002,Provider Network 02,Imaging Center,NC,NC Locality,27447,Total knee arthroplasty,Surgery,1868.85,1765.74,3540.38,19,2025-11-01,Negotiated Commercial,Medicare Advantage,1324.33,simulated_cms_style_fee_schedule,2025-11-01,33549.06,25162.269999999997
PRV022,Provider Network 22,Hospital Outpatient,PA,PA Locality,99213,Office/outpatient established visit,Professional,107.8,106.69,157.93,84,2024-06-01,Negotiated Commercial,Exchange,94.24,simulated_cms_style_fee_schedule,2024-06-01,8961.96,7916.16
PRV050,Provider Network 50,Imaging Center,NC,NC Locality,71046,Chest x-ray two views,Imaging,36.43,31.17,66.28,22,2024-12-01,Case Rate,Exchange,35.12,simulated_cms_style_fee_schedule,2024-12-01,685.74,772.64
PRV001,Provider Network 01,Physician Group,FL,FL Locality,45378,Diagnostic colonoscopy,Outpatient,372.1,349.15,561.98,13,2024-06-01,Percent of Medicare,Commercial PPO,396.98,simulated_cms_style_fee_schedule,2024-06-01,4538.95,5160.74
PRV054,Provider Network 54,Ambulatory Surgery,PA,PA Locality,J3490,Unclassified drug,Pharmacy,122.42,109.1,185.95,16,2024-10-01,Case Rate,Commercial PPO,112.06,simulated_cms_style_fee_schedule,2024-10-01,1745.6,1792.96
PRV033,Provider Network 33,Physician Group,FL,FL Locality,93000,Electrocardiogram complete,Diagnostic,27.15,26.62,33.88,15,2024-07-01,Negotiated Commercial,Commercial HMO,21.24,simulated_cms_style_fee_schedule,2024-07-01,399.3,318.59999999999997
PRV009,Provider Network 09,Hospital Outpatient,MD,MD Locality,99213,Office/outpatient established visit,Professional,111.71,98.89,159.83,94,2025-09-01,Negotiated Commercial,Commercial HMO,97.52,simulated_cms_style_fee_schedule,2025-09-01,9295.66,9166.88
PRV019,Provider Network 19,Lab,NY,NY Locality,99214,Office/outpatient established visit high complexity,Professional,139.61,136.2,261.2,92,2025-05-01,Percent of Medicare,Commercial PPO,122.99,simulated_cms_style_fee_schedule,2025-05-01,12530.4,11315.08
PRV034,Provider Network 34,Ambulatory Surgery,PA,PA Locality,80053,Comprehensive metabolic panel,Lab,16.42,14.93,22.84,50,2025-09-01,Percent of Medicare,Medicare Advantage,13.79,simulated_cms_style_fee_schedule,2025-09-01,746.5,689.5
PRV019,Provider Network 19,Lab,NY,NY Locality,71046,Chest x-ray two views,Imaging,37.76,37.76,76.42,25,2025-08-01,Fee Schedule,Medicare Advantage,35.45,simulated_cms_style_fee_schedule,2025-08-01,944.0,886.2500000000001
PRV007,Provider Network 07,Physician Group,FL,FL Locality,80053,Comprehensive metabolic panel,Lab,17.92,15.99,27.04,37,2025-06-01,Case Rate,Commercial PPO,13.24,simulated_cms_style_fee_schedule,2025-06-01,591.63,489.88
PRV040,Provider Network 40,Imaging Center,MD,MD Locality,99213,Office/outpatient established visit,Professional,85.03,79.78,160.48,78,2024-04-01,Fee Schedule,Commercial PPO,82.42,simulated_cms_style_fee_schedule,2024-04-01,6222.84,6428.76
PRV041,Provider Network 41,Physician Group,NC,NC Locality,80053,Comprehensive metabolic panel,Lab,17.28,16.42,26.83,41,2025-08-01,Negotiated Commercial,Commercial PPO,13.79,simulated_cms_style_fee_schedule,2025-08-01,673.22,565.39
PRV008,Provider Network 08,Imaging Center,PA,PA Locality,93000,Electrocardiogram complete,Diagnostic,24.5,22.63,25.72,22,2025-07-01,Negotiated Commercial,Medicare Advantage,21.24,simulated_cms_style_fee_schedule,2025-07-01,497.85999999999996,467.28
PRV017,Provider Network 17,Ambulatory Surgery,VA,VA Locality,71046,Chest x-ray two views,Imaging,48.2,42.25,65.95,30,2024-03-01,Negotiated Commercial,Exchange,35.17,simulated_cms_style_fee_schedule,2024-03-01,1267.5,1055.1000000000001
PRV015,Provider Network 15,Imaging Center,NC,NC Locality,99213,Office/outpatient established visit,Professional,73.1,69.1,100.11,92,2024-03-01,Fee Schedule,Medicare Advantage,77.64,simulated_cms_style_fee_schedule,2024-03-01,6357.2,7142.88
PRV040,Provider Network 40,Imaging Center,MD,MD Locality,45378,Diagnostic colonoscopy,Outpatient,353.39,303.81,486.82,23,2025-07-01,Fee Schedule,Exchange,396.98,simulated_cms_style_fee_schedule,2025-07-01,6987.63,9130.54
PRV044,Provider Network 44,Hospital Outpatient,MD,MD Locality,71046,Chest x-ray two views,Imaging,42.93,40.5,53.08,20,2024-10-01,Negotiated Commercial,Commercial HMO,33.04,simulated_cms_style_fee_schedule,2024-10-01,810.0,660.8
PRV044,Provider Network 44,Hospital Outpatient,MD,MD Locality,80053,Comprehensive metabolic panel,Lab,17.93,16.81,23.36,43,2024-08-01,Fee Schedule,Medicare Advantage,13.94,simulated_cms_style_fee_schedule,2024-08-01,722.8299999999999,599.42
PRV057,Provider Network 57,Ambulatory Surgery,MD,MD Locality,A0429,Ambulance basic life support,Emergency,349.82,317.89,595.55,26,2024-10-01,Percent of Medicare,Commercial PPO,298.33,simulated_cms_style_fee_schedule,2024-10-01,8265.14,7756.58
PRV047,Provider Network 47,Ambulatory Surgery,NC,NC Locality,45378,Diagnostic colonoscopy,Outpatient,443.02,368.23,977.63,13,2025-09-01,Case Rate,Medicare Advantage,393.64,simulated_cms_style_fee_schedule,2025-09-01,4786.99,5117.32
PRV020,Provider Network 20,Ambulatory Surgery,NC,NC Locality,99214,Office/outpatient established visit high complexity,Professional,130.57,110.3,209.05,84,2024-09-01,Percent of Medicare,Medicare Advantage,131.82,simulated_cms_style_fee_schedule,2024-09-01,9265.199999999999,11072.88
PRV007,Provider Network 07,Physician Group,FL,FL Locality,99214,Office/outpatient established visit high complexity,Professional,179.47,160.43,262.5,92,2024-09-01,Fee Schedule,Commercial HMO,131.82,simulated_cms_style_fee_schedule,2024-09-01,14759.560000000001,12127.439999999999
PRV037,Provider Network 37,Lab,VA,VA Locality,99213,Office/outpatient established visit,Professional,82.47,75.89,86.59,76,2024-10-01,Negotiated Commercial,Commercial HMO,94.24,simulated_cms_style_fee_schedule,2024-10-01,5767.64,7162.24
PRV055,Provider Network 55,Ambulatory Surgery,NY,NY Locality,70551,MRI brain without contrast,Imaging,219.78,208.48,449.43,28,2024-02-01,Percent of Medicare,Medicare Advantage,219.7,simulated_cms_style_fee_schedule,2024-02-01,5837.44,6151.599999999999
PRV059,Provider Network 59,Imaging Center,VA,VA Locality,80053,Comprehensive metabolic panel,Lab,14.58,13.64,26.47,46,2024-01-01,Fee Schedule,Exchange,13.24,simulated_cms_style_fee_schedule,2024-01-01,627.44,609.04
PRV014,Provider Network 14,Imaging Center,MD,MD Locality,80053,Comprehensive metabolic panel,Lab,14.9,13.05,21.4,33,2024-10-01,Percent of Medicare,Exchange,15.37,simulated_cms_style_fee_schedule,2024-10-01,430.65000000000003,507.21
PRV015,Provider Network 15,Imaging Center,NC,NC Locality,70551,MRI brain without contrast,Imaging,253.01,250.44,411.8,14,2024-01-01,Negotiated Commercial,Commercial PPO,275.26,simulated_cms_style_fee_schedule,2024-01-01,3506.16,3853.64
PRV003,Provider Network 03,Imaging Center,PA,PA Locality,70551,MRI brain without contrast,Imaging,185.01,180.77,264.93,22,2025-07-01,Fee Schedule,Medicare Advantage,225.37,simulated_cms_style_fee_schedule,2025-07-01,3976.94,4958.14
PRV009,Provider Network 09,Hospital Outpatient,MD,MD Locality,99213,Office/outpatient established visit,Professional,83.46,77.16,104.82,88,2024-11-01,Fee Schedule,Commercial PPO,94.24,simulated_cms_style_fee_schedule,2024-11-01,6790.08,8293.119999999999
PRV034,Provider Network 34,Ambulatory Surgery,PA,PA Locality,99214,Office/outpatient established visit high complexity,Professional,154.59,149.34,224.27,84,2025-01-01,Case Rate,Commercial PPO,133.35,simulated_cms_style_fee_schedule,2025-01-01,12544.56,11201.4
PRV033,Provider Network 33,Physician Group,FL,FL Locality,45378,Diagnostic colonoscopy,Outpatient,553.24,495.79,976.22,18,2024-09-01,Case Rate,Commercial HMO,396.98,simulated_cms_style_fee_schedule,2024-09-01,8924.220000000001,7145.64
PRV023,Provider Network 23,Physician Group,MD,MD Locality,A0429,Ambulance basic life support,Emergency,378.07,346.9,620.52,24,2025-07-01,Percent of Medicare,Commercial HMO,347.07,simulated_cms_style_fee_schedule,2025-07-01,8325.599999999999,8329.68
PRV019,Provider Network 19,Lab,NY,NY Locality,J3490,Unclassified drug,Pharmacy,112.96,95.89,168.95,23,2024-11-01,Negotiated Commercial,Commercial HMO,117.66,simulated_cms_style_fee_schedule,2024-11-01,2205.47,2706.18
PRV050,Provider Network 50,Imaging Center,NC,NC Locality,A0429,Ambulance basic life support,Emergency,291.11,262.09,498.65,25,2024-01-01,Negotiated Commercial,Medicare Advantage,298.33,simulated_cms_style_fee_schedule,2024-01-01,6552.249999999999,7458.25
PRV028,Provider Network 28,Lab,VA,VA Locality,71046,Chest x-ray two views,Imaging,41.58,38.08,61.09,17,2024-12-01,Fee Schedule,Exchange,34.99,simulated_cms_style_fee_schedule,2024-12-01,647.36,594.83
PRV049,Provider Network 49,Imaging Center,PA,PA Locality,J3490,Unclassified drug,Pharmacy,99.88,95.97,185.86,23,2024-05-01,Negotiated Commercial,Commercial HMO,115.62,simulated_cms_style_fee_schedule,2024-05-01,2207.31,2659.26
PRV058,Provider Network 58,Physician Group,MD,MD Locality,J3490,Unclassified drug,Pharmacy,117.68,113.35,151.53,18,2025-03-01,Fee Schedule,Exchange,101.59,simulated_cms_style_fee_schedule,2025-03-01,2040.3,1828.6200000000001
PRV020,Provider Network 20,Ambulatory Surgery,NC,NC Locality,J3490,Unclassified drug,Pharmacy,154.13,136.16,225.03,14,2025-02-01,Percent of Medicare,Medicare Advantage,112.06,simulated_cms_style_fee_schedule,2025-02-01,1906.24,1568.8400000000001
PRV013,Provider Network 13,Imaging Center,PA,PA Locality,99214,Office/outpatient established visit high complexity,Professional,119.34,106.6,208.66,98,2024-12-01,Fee Schedule,Commercial PPO,131.82,simulated_cms_style_fee_schedule,2024-12-01,10446.8,12918.359999999999
PRV058,Provider Network 58,Physician Group,MD,MD Locality,99214,Office/outpatient established visit high complexity,Professional,126.42,115.73,218.67,92,2024-10-01,Negotiated Commercial,Commercial PPO,131.82,simulated_cms_style_fee_schedule,2024-10-01,10647.16,12127.439999999999
PRV039,Provider Network 39,Hospital Outpatient,NY,NY Locality,71046,Chest x-ray two views,Imaging,29.6,29.1,40.9,16,2025-03-01,Case Rate,Commercial PPO,32.83,simulated_cms_style_fee_schedule,2025-03-01,465.6,525.28
PRV018,Provider Network 18,Physician Group,VA,VA Locality,70551,MRI brain without contrast,Imaging,317.02,306.73,422.07,15,2025-05-01,Case Rate,Commercial HMO,275.26,simulated_cms_style_fee_schedule,2025-05-01,4600.950000000001,4128.9
PRV038,Provider Network 38,Lab,NC,NC Locality,A0429,Ambulance basic life support,Emergency,302.37,285.13,507.42,16,2025-10-01,Negotiated Commercial,Commercial HMO,347.07,simulated_cms_style_fee_schedule,2025-10-01,4562.08,5553.12
PRV031,Provider Network 31,Ambulatory Surgery,PA,PA Locality,80053,Comprehensive metabolic panel,Lab,18.63,17.64,35.54,44,2025-12-01,Case Rate,Commercial HMO,13.94,simulated_cms_style_fee_schedule,2025-12-01,776.1600000000001,613.36
PRV055,Provider Network 55,Ambulatory Surgery,NY,NY Locality,J3490,Unclassified drug,Pharmacy,119.57,111.74,212.29,22,2024-02-01,Case Rate,Commercial PPO,115.62,simulated_cms_style_fee_schedule,2024-02-01,2458.2799999999997,2543.6400000000003
PRV016,Provider Network 16,Imaging Center,PA,PA Locality,J3490,Unclassified drug,Pharmacy,145.84,137.95,182.95,20,2025-04-01,Negotiated Commercial,Medicare Advantage,112.06,simulated_cms_style_fee_schedule,2025-04-01,2759.0,2241.2
PRV060,Provider Network 60,Imaging Center,MD,MD Locality,A0429,Ambulance basic life support,Emergency,363.06,325.21,501.65,25,2024-03-01,Percent of Medicare,Commercial PPO,347.07,simulated_cms_style_fee_schedule,2024-03-01,8130.249999999999,8676.75
PRV057,Provider Network 57,Ambulatory Surgery,MD,MD Locality,99214,Office/outpatient established visit high complexity,Professional,161.21,146.13,206.1,100,2024-11-01,Case Rate,Commercial HMO,140.21,simulated_cms_style_fee_schedule,2024-11-01,14613.0,14021.0
PRV011,Provider Network 11,Ambulatory Surgery,NC,NC Locality,93000,Electrocardiogram complete,Diagnostic,21.92,19.64,41.75,18,2025-06-01,Percent of Medicare,Medicare Advantage,23.86,simulated_cms_style_fee_schedule,2025-06-01,353.52,429.48
PRV010,Provider Network 10,Physician Group,PA,PA Locality,93000,Electrocardiogram complete,Diagnostic,28.36,27.69,43.52,14,2025-02-01,Negotiated Commercial,Medicare Advantage,25.07,simulated_cms_style_fee_schedule,2025-02-01,387.66,350.98
